region,product,revenue,units,quarter,rep
West,Pro,19500.99,6,Q3,Rep_0
APAC,Pro,79282.7,82,Q3,Rep_1
East,Pro,15792.57,69,Q4,Rep_2
APAC,Starter,28899.17,47,Q1,Rep_3
APAC,Starter,4085.26,25,Q3,Rep_4
South,Enterprise,950000.0,66,Q1,Rep_5
East,Enterprise,164369.0,10,Q4,Rep_6
East,Starter,90388.38,56,Q2,Rep_7
East,Pro,59532.14,30,Q3,Rep_8
APAC,Enterprise,26292.98,5,Q1,Rep_9
West,Starter,9515.33,33,Q1,Rep_10
East,Starter,8506.04,65,Q3,Rep_11
APAC,Starter,14400.3,18,Q2,Rep_12
South,Pro,39839.53,96,Q2,Rep_13
West,Starter,62692.46,49,Q2,Rep_14
South,Starter,53969.52,11,Q4,Rep_15
West,Starter,16420.61,85,Q1,Rep_16
APAC,Starter,154905.17,26,Q1,Rep_17
North,Enterprise,66950.87,63,Q1,Rep_18
West,Enterprise,40411.52,89,Q4,Rep_19
South,Starter,47301.52,86,Q1,Rep_0
APAC,Pro,27201.89,59,Q4,Rep_1
West,Enterprise,14233.06,27,Q2,Rep_2
North,Starter,22000.71,49,Q3,Rep_3
North,Enterprise,70909.09,77,Q1,Rep_4
East,Enterprise,724.9,33,Q1,Rep_5
East,Pro,6169.02,98,Q2,Rep_6
South,Starter,2354.72,99,Q3,Rep_7
West,Starter,2079.07,1,Q4,Rep_8
West,Pro,96710.15,21,Q3,Rep_9
East,Pro,60812.03,55,Q2,Rep_10
West,Starter,32139.23,6,Q2,Rep_11
West,Starter,5147.85,92,Q3,Rep_12
North,Pro,33825.9,81,Q4,Rep_13
East,Enterprise,32072.52,69,Q4,Rep_14
APAC,Enterprise,9509.74,95,Q1,Rep_15
East,Pro,28444.96,5,Q4,Rep_16
APAC,Enterprise,25416.83,3,Q3,Rep_17
North,Pro,47836.12,53,Q2,Rep_18
South,Enterprise,50405.73,23,Q1,Rep_19
West,Enterprise,2318.12,53,Q1,Rep_0
North,Starter,23469.2,37,Q2,Rep_1
West,Starter,1200000.0,74,Q4,Rep_2
South,Enterprise,34971.97,74,Q2,Rep_3
South,Enterprise,97067.47,83,Q4,Rep_4
North,Starter,53748.74,17,Q2,Rep_5
South,Starter,8892.64,85,Q3,Rep_6
APAC,Starter,3659.12,78,Q4,Rep_7
South,Pro,51419.71,73,Q3,Rep_8
West,Enterprise,1343.45,1,Q1,Rep_9
West,Starter,44067.37,51,Q2,Rep_10
West,Enterprise,140862.77,45,Q1,Rep_11
West,Pro,42839.12,77,Q1,Rep_12
APAC,Pro,24565.03,4,Q1,Rep_13
East,Starter,51541.36,62,Q1,Rep_14
North,Pro,30647.8,65,Q2,Rep_15
West,Enterprise,39440.72,32,Q1,Rep_16
South,Starter,141906.36,34,Q2,Rep_17
West,Enterprise,24396.38,92,Q2,Rep_18
South,Enterprise,162454.59,95,Q3,Rep_19
South,Pro,117878.81,72,Q4,Rep_0
West,Pro,10894.81,39,Q4,Rep_1
APAC,Pro,3594.21,26,Q2,Rep_2
South,Pro,5311.27,34,Q3,Rep_3
South,Pro,919.49,54,Q2,Rep_4
West,Starter,4960.25,3,Q2,Rep_5
South,Enterprise,57443.74,50,Q2,Rep_6
South,Enterprise,3692.48,12,Q3,Rep_7
